numer ramki	temp_defekt_srednica10mm_glebokosc0,5mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.8142	24.9036	24.8457	24.7773	24.817
2	24.8353	24.94	24.8817	24.7911	24.8117
3	24.8172	24.9083	24.8689	24.803	24.8642
4	24.8142	24.9013	24.8677	24.7961	24.8496
5	24.8276	24.9106	24.8817	24.7875	24.8275
6	24.8276	24.8833	24.8641	24.7673	24.8513
7	24.7965	24.9445	24.8404	24.7669	24.8487
8	24.8431	24.9197	24.8899	24.775	24.8429
9	24.8514	24.9141	24.8635	24.8089	24.8287
10	24.8279	24.8894	24.8599	24.8351	24.8419
11	24.8776	24.8906	24.8943	24.7868	24.8502
12	24.8304	24.9122	24.8617	24.7824	24.802
13	24.8081	24.943	24.8653	24.7688	24.8464
14	24.8564	24.9182	24.9026	24.7656	24.8655
15	24.8276	24.9036	24.8444	24.7489	24.8711
16	24.8179	24.9083	24.865	24.7567	24.8607
17	24.793	24.907	24.8729	24.8093	24.8304
18	24.8081	24.8876	24.865	24.7961	24.8275
19	24.8279	24.9567	24.8766	24.7962	24.8527
20	24.8323	24.8869	24.8766	24.7699	24.8913
21	24.8363	24.907	24.8441	24.7885	24.8301
22	24.8182	24.9165	24.8482	24.7731	24.8621
23	24.8834	24.9086	24.9018	24.7667	24.8287
24	24.8239	24.922	24.8514	24.7664	24.8337
25	24.8623	24.9064	24.865	24.7778	24.8191
26	24.7961	24.9354	24.9026	24.7759	24.8589
27	24.8353	24.9122	24.8605	24.7962	24.8287
28	24.8201	24.9195	24.8406	24.7673	24.8454
29	24.8394	24.9091	24.8857	24.7875	24.8694
30	24.7957	24.9275	24.8444	24.7881	24.8704
31	24.8142	24.8952	24.8766	24.8089	24.8496
32	24.8074	24.9153	24.8311	24.791	24.8704
33	24.7961	24.9029	24.8972	24.7489	24.8487
34	24.8149	24.8906	24.8553	24.7759	24.8449
35	24.8248	24.9157	24.8566	24.7796	24.8695
36	24.8179	24.8846	24.8689	24.77	24.8704
37	24.8179	24.8982	24.8937	24.8058	24.844
38	24.8067	24.8922	24.8876	24.7819	24.8902
39	24.8239	24.9319	24.8381	24.8089	24.8471
40	24.8112	24.9129	24.8724	24.7891	24.8232
41	24.8085	24.878	24.8406	24.7628	24.8173
42	24.8412	24.9139	24.8684	24.7962	24.822
43	24.8353	24.9155	24.841	24.7965	24.8337
44	24.8182	24.9039	24.8518	24.8169	24.8464
45	24.8339	24.8952	24.8972	24.7838	24.8496
46	24.8201	24.9284	24.8611	24.7962	24.8078
47	24.8304	24.9136	24.8931	24.775	24.8627
48	24.8339	24.9165	24.8627	24.7679	24.8413
49	24.849	24.907	24.8848	24.7867	24.8589
50	24.8304	24.8906	24.8724	24.7781	24.8381
51	24.8545	24.8982	24.8937	24.7778	24.8722
52	24.8186	24.907	24.8482	24.7796	24.8445
53	24.8514	24.9236	24.8457	24.7987	24.8488
54	24.8272	24.9083	24.8729	24.8047	24.9122
55	24.8564	24.9148	24.8613	24.803	24.8484
56	24.8412	24.9141	24.856	24.7669	24.8518
57	24.8112	24.8958	24.8313	24.7667	24.8346
58	24.79	24.8705	24.8857	24.7962	24.8228
59	24.8142	24.8922	24.9026	24.7781	24.8211
60	24.8093	24.8833	24.8819	24.7961	24.8205
61	24.8248	24.8986	24.8313	24.77	24.8381
62	24.8158	24.8869	24.8518	24.7657	24.8434
63	24.8239	24.9029	24.861	24.7667	24.8304
64	24.8074	24.8854	24.8824	24.7878	24.8984
65	24.8149	24.9268	24.8462	24.8058	24.8231
66	24.7972	24.9347	24.8684	24.7669	24.8518
67	24.8123	24.9361	24.8684	24.7819	24.8287
68	24.8393	24.899	24.8607	24.7899	24.8278
69	24.8172	24.9715	24.8666	24.7669	24.8699
70	24.8394	24.9354	24.8951	24.8109	24.8513
71	24.8093	24.8932	24.861	24.7878	24.8428
72	24.8172	24.9442	24.8518	24.803	24.8496
73	24.8092	24.9236	24.8744	24.7923	24.8624
74	24.8142	24.899	24.8817	24.7773	24.8497
75	24.8304	24.9207	24.865	24.7875	24.8775
76	24.8185	24.8933	24.9063	24.8086	24.862
77	24.8628	24.8967	24.8313	24.7992	24.8464
78	24.806	24.899	24.8521	24.8174	24.8419
79	24.8248	24.9056	24.8609	24.7664	24.8849
80	24.8158	24.9083	24.8897	24.7664	24.8587
81	24.8912	24.9031	24.8689	24.775	24.8607
82	24.8461	24.9235	24.8714	24.7548	24.8704
83	24.8239	24.8958	24.8696	24.8086	24.8623
84	24.8179	24.8869	24.8445	24.7962	24.8497
85	24.8093	24.9263	24.8607	24.7969	24.8513
86	24.8123	24.913	24.8459	24.8036	24.8293
87	24.7931	24.899	24.8406	24.8089	24.8232
88	24.8391	24.8784	24.8939	24.7969	24.8095
89	24.8103	24.9078	24.8729	24.7989	24.8496
90	24.8183	24.899	24.8695	24.7899	24.8287
91	24.8172	24.8932	24.8724	24.7664	24.8279
92	24.8158	24.8854	24.8729	24.7556	24.8843
93	24.8179	24.899	24.8653	24.8241	24.8437
94	24.8201	24.907	24.8655	24.8089	24.8413
95	24.8158	24.9401	24.8771	24.7987	24.8336
96	24.793	24.877	24.8521	24.7878	24.8678
97	24.8142	24.9343	24.8724	24.8287	24.8205
98	24.8349	24.8876	24.8729	24.7669	24.8658
99	24.8353	24.9238	24.8931	24.803	24.8336
100	24.8338	24.891	24.8783	24.7664	24.8286
101	24.8391	24.9083	24.8937	24.7911	24.8434
102	24.8606	24.8737	24.8848	24.7627	24.883
103	24.8195	24.9245	24.8819	24.7608	24.8346
104	24.8564	24.899	24.8605	24.7824	24.8286
105	24.8067	24.9263	24.8724	24.7852	24.8587
106	24.8142	24.9022	24.9026	24.8122	24.8346
