numer ramki	temp_defekt_sreddnica10mm_glebokosc1mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
119	24.9937	25.0767	25.098	24.9529	25.0458
120	24.9889	25.103	25.0559	24.992	25.0383
121	24.9802	25.113	25.0821	24.9571	25.0412
122	24.9837	25.1129	25.0859	24.9899	25.0312
123	24.9937	25.0923	25.1068	24.9819	25.0139
124	25.005	25.0594	25.052	24.9891	25.0523
125	25.0038	25.0893	25.0827	24.9436	25.0188
126	24.9942	25.0922	25.0653	24.9695	25.0027
127	24.9942	25.0503	25.0605	24.9483	25.0136
128	24.981	25.0917	25.0859	25.044	25.0525
129	24.9731	25.0814	25.1037	25.0224	25.0381
130	24.9982	25.099	25.06	24.9995	25.0174
131	24.999	25.155	25.0852	24.9995	25.0255
132	24.9937	25.0814	25.0773	24.9648	25.0312
133	25.0404	25.1075	25.1075	24.9769	25.0273
134	24.9636	25.0986	25.0787	24.9439	25.0136
135	24.9798	25.1305	25.1142	24.986	25.0386
136	24.9779	25.0913	25.0821	24.9995	25.0563
137	24.9937	25.0503	25.0827	24.9747	25.0315
138	24.9802	25.1219	25.1122	24.9596	25.0457
139	24.9786	25.0504	25.0764	24.965	25.0383
140	25.0009	25.0734	25.0773	24.9571	25.0247
141	25.0143	25.0814	25.0653	24.9995	25.0349
142	24.9998	25.1076	25.0859	24.9571	25.0045
143	24.9914	25.0923	25.0989	24.952	25.0458
144	24.9786	25.0986	25.1186	24.9748	25.0668
145	24.9997	25.0702	25.0726	24.9995	25.0203
146	24.998	25.0926	25.0472	24.9401	25.0683
147	24.9931	25.0654	25.1172	24.9685	25.0509
148	25.0037	25.0894	25.0726	24.965	25.0468
149	24.979	25.0752	25.1046	24.9748	25.0563
150	25.0004	25.0518	25.0395	24.9519	25.0263
151	24.9754	25.0821	25.1301	24.9736	25.0377
152	24.9801	25.1032	25.0787	24.964	25.0242
153	24.9807	25.0776	25.0764	24.9783	25.0349
154	24.9713	25.1064	25.0869	24.9533	25.0491
155	25.0159	25.0986	25.1261	24.9747	25.0462
156	24.983	25.0772	25.0898	24.9713	25.02
157	24.9997	25.0855	25.1075	24.9995	25.0364
158	25.0177	25.0693	25.0643	24.992	25.0473
159	25.0278	25.1129	25.0773	24.9377	25.0523
160	24.999	25.0924	25.1033	24.9524	25.0348
161	25.0173	25.0876	25.0629	24.942	25.0349
162	24.9742	25.0922	25.0761	24.9571	25.0263
