numer ramki	temp_defekt_srednica10mm_glebokosc0,3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.8556	24.952	24.9396	24.8594	24.9045
2	24.8817	24.9738	24.9569	24.8328	24.9406
3	24.8748	24.9763	24.9695	24.8674	24.9065
4	24.8704	24.9707	24.9868	24.9181	24.9157
5	24.8875	24.9536	24.9483	24.8253	24.886
6	24.8875	24.9554	24.9483	24.8301	24.9216
7	24.8404	24.9807	24.9868	24.8451	24.9574
8	24.8811	25.0037	24.9649	24.869	24.9157
9	24.8642	24.9665	24.9443	24.8842	24.9073
10	24.8557	24.9613	24.9721	24.8661	24.9423
11	24.8766	24.9347	24.9764	24.846	24.9174
12	24.9021	24.9832	24.9355	24.8671	24.9215
13	24.8669	25.0054	24.9632	24.8389	24.9215
14	24.8817	24.9768	24.9443	24.8322	24.9213
15	24.8773	24.9395	24.9437	24.8314	24.8799
16	24.9102	24.983	24.9555	24.846	24.8948
17	24.8896	24.9774	24.9553	24.8671	24.8937
18	24.8667	24.9731	24.9296	24.8418	24.9144
19	24.8766	24.9535	24.945	24.846	24.9157
20	24.8766	25.0325	24.9253	24.846	24.9157
21	24.8787	24.9866	24.9657	24.8509	24.9213
22	24.8637	24.9975	24.9655	24.8475	24.8728
23	24.9018	24.9683	24.9342	24.8743	24.9398
24	24.843	24.9499	24.9363	24.8675	24.9174
25	24.865	24.955	24.9759	24.8099	24.948
26	24.861	24.9683	24.9634	24.8475	24.9574
27	24.8704	24.9999	24.9336	24.8418	24.9213
28	24.8494	24.9902	24.9124	24.8187	24.9215
29	24.8857	24.9741	24.9443	24.8434	24.898
30	24.8565	24.9666	24.9395	24.8358	24.8991
31	24.8766	25.008	24.9296	24.8303	24.9215
32	24.8735	24.9731	24.9437	24.8376	24.9045
33	24.8972	24.9328	24.9573	24.853	24.8796
34	24.8689	24.9745	24.9262	24.8646	24.9303
35	24.9054	25.0102	24.9569	24.8583	24.9157
36	24.9466	24.9546	24.965	24.8484	24.9547
37	24.8937	24.9459	24.9553	24.8675	24.9006
38	24.8876	24.9848	24.9435	24.8416	24.9006
39	24.8814	24.974	24.9361	24.8882	24.9658
40	24.8931	24.9664	24.9424	24.8475	24.9015
41	24.8814	24.973	24.9231	24.8593	24.8796
42	24.8764	25.0323	24.9419	24.8475	24.9005
43	24.8556	24.9481	24.9271	24.8265	24.9034
44	24.8727	24.9752	24.9443	24.8726	24.8973
45	24.8972	24.9508	24.9657	24.8398	24.8957
46	24.8355	24.9661	24.9649	24.8322	24.9242
47	24.8931	24.9947	24.9655	24.8253	24.9042
48	24.8627	24.9913	25.0358	24.8634	24.9006
49	24.8729	24.9487	24.9528	24.8512	24.9388
50	24.8748	24.9681	24.9646	24.7994	24.9215
51	24.8937	24.9353	24.9212	24.8382	24.9424
52	24.8903	24.9336	24.9316	24.8463	24.9034
53	24.8608	24.9871	24.9547	24.8882	24.9215
54	24.8761	24.9741	24.9721	24.8561	24.9007
55	24.8935	24.9619	24.9443	24.8327	24.9215
56	24.945	24.9741	24.9325	24.8523	24.9679
57	24.846	24.9913	24.9443	24.8153	24.941
58	24.8857	24.9763	24.9436	24.8322	24.9215
59	24.8811	24.9523	24.9736	24.8464	24.9215
60	24.8711	24.983	24.9868	24.8719	24.9365
61	24.8401	24.9623	24.9256	24.8464	24.9216
62	24.8706	24.9579	24.9657	24.8512	24.9034
63	24.861	24.9694	24.9322	24.8671	24.9423
64	24.8824	24.9816	24.9443	24.8885	24.92
65	24.8462	24.9641	24.9555	24.8365	24.9215
66	24.8848	25.0143	24.9759	24.8842	24.8991
67	24.9202	24.9993	24.9657	24.8249	24.9206
68	24.9082	24.9623	24.9437	24.8253	24.9017
69	24.8666	24.9367	24.9355	24.863	24.9206
70	24.8518	24.9688	24.966	24.8346	24.9006
71	24.8709	24.9688	24.9523	24.8842	24.9213
72	24.8608	24.9568	24.9569	24.8661	24.9007
73	24.8814	25.0016	24.9305	24.8298	24.9174
74	24.8817	24.9648	24.9445	24.8512	24.9365
75	24.8482	24.9539	24.9655	24.8363	24.9215
76	24.8667	24.953	24.9443	24.8392	24.8971
77	24.8761	25.0506	24.9632	24.8646	24.9174
78	24.8728	25.0039	24.9296	24.8314	24.9365
79	24.8875	24.9416	24.9635	24.8697	24.9157
80	24.8897	24.9568	25.0185	24.8523	24.9365
81	24.8764	24.9575	24.9465	24.8323	24.8655
82	24.8764	24.9289	25.008	24.837	24.9157
83	24.9594	24.9768	24.9483	24.8798	24.8966
84	24.8637	24.9723	24.9575	24.8738	24.9157
85	24.8607	24.9673	24.9445	24.8526	24.9382
86	24.8459	24.9387	24.976	24.8323	24.9215
87	24.869	24.9623	24.9547	24.86	25.0048
88	24.8898	25.0037	24.9868	24.83	24.9423
89	24.8875	24.9695	24.9973	24.8759	24.9215
90	24.8709	24.9361	24.9635	24.8646	24.9174
91	24.8876	24.9279	24.9231	24.8386	24.9157
92	24.8814	25.0129	24.9443	24.8842	24.9474
93	24.8617	24.9687	24.9443	24.8515	24.9215
94	24.8655	24.9763	24.9395	24.8441	24.9365
95	24.8896	24.9642	24.9262	24.8389	24.8948
96	24.8667	24.973	24.9569	24.8483	24.9174
97	24.8875	24.9344	24.9219	24.8204	24.9574
98	24.8969	24.9694	24.9469	24.8512	24.9424
99	24.8931	25.0037	24.9682	24.824	24.8806
100	24.9243	24.9648	24.9302	24.8464	24.9273
101	24.9579	24.9873	24.9483	24.8359	24.8948
102	24.8745	24.961	24.9357	24.8558	24.9068
103	24.8515	24.9659	24.9142	24.8359	24.8965
104	24.8705	24.9481	24.9443	24.8769	24.9839
105	24.8724	24.9619	24.9655	24.8138	24.9215
106	24.8593	24.9588	24.9145	24.8484	24.9213
107	24.8642	24.9368	24.9553	24.8088	24.9215
108	24.8624	24.9807	24.9443	24.8444	24.8966
109	24.8972	24.949	24.9705	24.8376	24.941
110	24.8937	24.9561	24.978	24.835	24.9629
111	24.9105	25.0059	24.9509	24.846	24.9423
112	24.8937	24.9415	24.9443	24.8576	24.9571
113	24.8898	24.961	24.9539	24.86	24.9574
114	24.8817	24.9889	24.9246	24.8416	24.8826
115	24.9137	24.9665	24.9445	24.8418	24.9215
116	24.9496	24.9434	24.9483	24.8363	24.9339
117	24.8814	24.9623	24.9657	24.8169	24.9383
118	24.8521	25.0452	24.9655	24.8526	24.9006
119	24.8518	24.9661	24.9228	24.8475	24.8991
120	24.8735	24.9889	24.9517	24.83	24.9065
121	24.9352	24.9741	24.9282	24.8858	24.9423
122	24.8957	24.941	24.9424	24.8265	24.9181
123	24.8937	24.9853	24.9479	24.8885	24.9006
124	24.8933	24.9623	24.9649	24.8346	24.9144
125	24.8482	24.9459	24.9868	24.8264	24.9424
126	24.8729	24.9741	24.9547	24.8475	24.9215
127	24.883	24.9769	24.9483	24.8363	24.9157
128	24.8724	24.9681	24.925	24.8534	24.9034
129	24.8729	24.9436	25.0058	24.8738	24.9489
130	24.8734	25.0016	24.9768	24.8117	24.9365
131	24.8821	24.9602	24.9788	24.8418	24.9371
132	24.8665	24.9602	24.9648	24.8515	24.9365
133	24.8811	24.9664	24.9764	24.8484	24.9423
134	24.896	24.9481	24.9439	24.8322	24.9015
135	24.8957	24.9913	24.9729	24.8686	24.9365
136	24.8766	25.0032	24.9788	24.8526	24.9164
137	24.8565	24.9809	24.9547	24.8337	24.9383
138	24.8848	24.9636	24.9361	24.8671	24.9423
139	24.8521	24.9533	24.9655	24.8551	24.9065
140	24.9243	24.9619	24.9445	24.8897	24.9225
141	24.8556	24.9756	24.9952	24.8995	24.9042
142	24.8798	25.0032	24.9424	24.8464	24.9068
143	24.8667	24.9914	24.9296	24.8842	24.92
144	24.8596	24.9715	24.9608	24.8422	24.92
145	24.945	24.9741	24.9695	24.8301	24.9574
146	24.8761	24.9533	24.9212	24.8671	24.9215
147	24.9083	24.9853	24.9847	24.8514	24.9206
148	24.9105	25.0037	24.965	24.8628	24.8959
149	24.8689	24.9499	24.9296	24.8571	24.9215
150	24.8875	24.9501	24.9452	24.8534	24.9174
151	24.8972	24.9499	24.9547	24.8418	24.9574
152	24.856	24.9575	24.9555	24.853	24.9164
153	24.8824	24.9807	24.9231	24.86	24.9423
154	24.876	24.9535	24.9655	24.8354	24.8798
155	24.8608	24.9666	24.9483	24.8784	24.9215
156	24.8836	24.9856	24.9656	24.8434	24.9255
157	24.9137	24.9804	24.93	24.8675	24.9154
158	24.9037	24.9895	24.965	24.8248	24.9157
159	24.8935	24.9768	24.9357	24.8558	24.9051
160	24.846	24.9975	24.9994	24.8738	24.9157
161	24.8817	24.9707	24.93	24.8475	24.9006
162	24.8678	24.9624	24.9509	24.9161	24.9423
163	24.8798	24.9666	24.9357	24.8665	24.8955
164	24.8918	24.9702	24.9736	24.8392	24.9574
165	24.905	24.9893	24.9517	24.8484	24.9164
166	24.8521	24.9688	24.9483	24.8443	24.9215
167	24.8521	24.9879	24.9635	24.846	24.9315
168	24.8937	24.9415	24.9655	24.8671	24.9382
169	24.8748	24.9827	24.9469	24.8376	24.9174
170	24.9313	24.9885	24.9547	24.846	24.9157
171	24.8706	24.9442	24.9695	24.8885	24.9157
