numer ramki	temp_defekt_srednica10mm_glebokosc2mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.9797	25.0006	24.9655	24.8649	24.9414
2	24.901	25.0095	24.9904	24.8855	24.9355
3	24.9266	25.0071	24.9831	24.8779	24.9949
4	24.9527	25.03	24.9731	24.8716	24.9713
5	24.9205	25.0079	24.9592	24.9226	24.9516
6	24.9443	25.0055	24.981	24.8928	24.9668
7	24.9207	25.0487	25.005	24.8778	24.9412
8	24.9006	25.0193	25.0037	24.8811	24.9727
9	24.927	25.0021	24.9655	24.9266	24.9684
10	24.9295	25.022	24.9731	24.9019	24.9874
11	24.8907	25.0252	24.9736	24.8766	25.0434
12	24.9205	24.9927	24.9832	24.8931	24.99
13	24.927	24.9986	25.0054	24.8897	24.9684
14	24.9392	25.0544	24.9823	24.8766	24.9731
15	24.9873	25.0134	24.9831	24.9135	24.9319
16	24.9327	24.9901	24.998	24.8959	24.9649
17	24.9734	25.0218	25.0202	24.8967	24.9528
18	24.9168	25.0155	24.9964	24.919	24.9316
19	24.9424	25.0487	24.999	24.8851	24.9426
20	24.9669	25.0132	24.9786	24.8813	24.9932
21	24.9413	25.0372	24.9786	24.8952	24.9935
22	24.9275	25.0094	24.9937	24.862	24.9733
23	24.9484	24.9968	24.9831	24.9018	24.9722
24	24.9258	24.9774	24.998	24.9019	24.9507
25	24.9207	25.0505	25.0349	24.8886	24.9733
26	24.9354	25.0127	24.981	24.8904	24.9333
27	24.9122	25.0293	24.9683	24.8932	24.9723
28	24.8855	24.9963	24.9902	24.8851	24.9358
29	24.9062	25.0095	24.9818	24.8722	24.9316
30	24.934	24.998	24.9655	24.9173	24.9302
31	24.9268	25.0094	24.9803	24.879	24.9631
32	24.94	25.0155	25.003	24.8735	24.9932
33	24.9743	25.0185	24.9544	24.8972	24.9195
34	24.9268	25.022	24.9745	24.8761	24.9733
35	24.9459	25.0169	24.963	24.901	24.9875
36	24.9734	25.0013	24.9546	24.9173	24.9616
37	24.9375	25.006	24.9937	24.904	24.9528
38	24.9471	25.0134	24.9848	24.8912	24.9454
39	24.9873	25.0438	25.0143	24.8928	24.9938
40	24.9664	25.0134	24.9823	24.8931	24.9436
41	24.9336	25.0013	24.973	24.8745	24.9508
42	24.9248	25.0404	25.0323	24.8764	24.9355
43	24.9105	25.0038	24.999	24.895	24.9528
44	24.9	25.02	24.9752	24.8779	24.9821
45	24.9713	25.0096	24.979	24.8972	24.9821
46	24.9158	24.9968	24.999	24.8874	24.9319
47	24.9266	25.0015	25.011	24.8842	24.9399
48	24.9072	24.9967	24.9781	24.9131	24.9528
49	24.9538	25.015	24.9615	24.8842	24.9733
50	24.9128	25.0055	24.9594	24.9058	24.9733
51	24.8981	25.0487	24.9937	24.8817	24.9932
52	24.9002	24.9963	24.9731	24.9081	24.9412
53	24.8918	25.0004	24.9942	24.8851	24.9528
54	24.9248	25.0218	25.0086	24.8967	24.9554
55	24.9148	25.0133	24.9619	24.907	24.9781
56	24.9253	24.9927	25.0349	24.9042	24.9727
57	24.9329	25.0311	24.9843	24.8778	24.9606
58	24.9266	25.0339	25.0009	24.8857	24.9616
59	24.9184	24.9963	25.0017	24.9266	24.9333
60	24.9132	25.0127	25.0067	24.8851	24.9727
61	24.9489	25.0218	25.0364	24.8778	24.9521
62	24.9122	25.0424	25.0224	24.8984	24.9821
63	24.9321	24.9968	24.981	24.8778	24.9209
64	24.9411	25.0134	24.9861	24.8559	24.9528
65	24.9547	24.9764	24.999	24.8761	24.9616
66	24.9173	25.0267	25.0143	24.8842	24.9727
67	24.9458	25.0604	24.998	24.8649	24.9349
68	24.9336	24.9773	25.0097	24.9131	24.9316
69	24.9302	25.0339	24.9507	24.8572	24.9733
70	24.9125	25.0218	24.9623	24.87	24.973
71	24.9168	25.0283	24.9823	24.8793	24.9554
72	24.9459	25.0301	24.9592	24.9214	24.9971
73	24.9464	24.9998	24.998	24.8778	24.973
74	24.9072	25.0198	24.9648	24.8984	24.9477
75	24.9162	25.0283	24.9736	24.8514	24.9239
76	24.8998	25.0244	24.9583	24.8855	25.0138
77	25.0103	24.9968	25.0506	24.9019	24.9553
78	24.9253	25.0218	25.0039	24.8745	24.9519
79	24.9097	25	24.9937	24.8515	24.9528
80	24.9515	24.9987	25.0554	24.8555	24.9743
81	24.9089	24.9968	25.0166	24.9365	24.9319
82	24.9375	25.0095	24.9655	24.8864	24.9668
83	24.9128	25.0095	24.981	24.8967	24.9336
84	24.9258	25.0013	24.9757	24.9093	24.9463
85	24.9282	25.0218	24.998	24.8912	24.9535
86	24.9129	25.0013	25.003	24.919	24.9727
87	24.9129	25.0079	24.9736	24.8436	24.9875
88	24.9333	25.0061	25.0037	24.865	24.9358
89	24.938	25.0292	24.9695	24.8636	24.9541
90	24.9743	25.0542	24.957	24.8806	24.94
91	24.9475	24.9697	24.9594	24.8715	24.9821
92	24.9175	24.9992	24.9848	24.8565	24.9576
93	24.9253	25.0088	24.9802	24.9226	24.9854
94	24.906	25.0012	25.0086	24.9007	24.933
95	24.9258	25.0204	24.9697	24.8855	25.0229
96	24.9459	24.9671	24.9889	24.9126	24.9426
97	24.9489	25.03	24.9636	24.8745	24.9727
98	24.9454	24.9891	25.0349	24.8806	24.9348
99	24.9061	25.0803	25.0037	24.8572	24.9521
100	24.9205	25.0134	24.999	24.8782	24.9727
101	24.9391	25.0198	24.9595	24.9579	24.9469
102	24.9062	25.0079	24.9802	24.906	24.9469
103	24.9245	25.0134	24.9624	24.8855	24.9521
104	24.9114	25.0218	24.9736	24.9255	24.9821
105	24.9689	24.9927	24.9623	24.8689	24.9676
106	24.9471	24.9807	25.0177	24.9193	24.9821
107	24.9261	25.0209	25.0038	24.8855	24.9333
108	24.9039	24.993	25.0017	24.94	24.9604
109	24.9321	25.0132	24.9615	24.9013	24.9713
110	24.9131	24.9891	24.9353	24.8766	24.9336
111	24.9329	25.0002	25.0059	24.8811	24.9616
112	24.8981	24.9979	24.9734	24.8874	24.9128
113	24.9061	25.0261	25.017	24.8851	24.9616
114	24.9459	25.045	24.9889	24.8919	24.9314
115	24.9321	25.0337	24.9592	24.919	24.9463
116	24.9375	24.9927	24.9889	24.9105	24.9396
117	24.9614	25.0164	24.9889	24.8778	24.9521
118	24.9321	25.0106	25.0452	24.8555	24.9526
119	24.8848	25.0132	24.9937	24.8598	24.9821
120	24.9413	25.0134	24.9889	24.8735	24.9323
121	24.9209	25.0835	24.9802	24.8855	24.9821
122	24.9268	25.0012	24.9837	24.8957	24.9518
123	24.9887	25.0223	24.9937	24.906	24.9508
124	24.9213	25.0088	25.005	24.8928	25.0097
125	24.9258	25.0002	25.0038	24.8782	24.9576
126	24.9329	25.0337	24.9942	24.8742	25.0229
127	24.9527	25.0149	24.9942	24.8817	24.9477
128	24.9538	25.0038	24.981	24.8576	24.9538
129	24.9034	25.0172	24.9731	24.8778	24.973
130	24.9122	24.9762	24.983	24.8932	25.0025
131	24.9084	25.0096	24.9697	24.8821	24.973
132	24.9266	24.9838	24.9937	24.9007	24.9412
133	24.9064	25.0342	24.9802	24.8811	24.9741
134	24.9527	24.9968	24.9636	24.8949	24.9399
135	24.9114	24.9968	24.9861	24.9265	24.9616
136	24.9212	25.0038	24.9779	24.8766	24.9414
137	24.9043	25.0487	24.9937	24.8986	24.9323
138	24.9086	25.0204	24.9802	24.8851	24.9477
139	24.9329	25.0337	24.9786	24.8689	24.9426
140	24.9536	24.985	25.0009	24.8806	24.9272
141	24.9493	25.0164	25.0143	24.8779	24.9316
142	24.9054	24.991	24.9831	24.9135	24.9727
143	24.9279	25.0002	24.9914	24.8677	25.0044
144	24.9417	24.993	24.9786	24.8667	24.9727
145	24.9205	25.0132	24.9636	24.9091	24.9684
146	24.934	25.0292	24.998	24.8884	24.9519
147	24.9354	25.0002	24.9931	24.8851	24.9683
148	24.9259	25.0015	25.0037	24.8722	24.9524
149	24.9062	25.0184	24.979	24.8679	24.9526
150	24.9464	25.0283	24.9731	24.8773	25.0013
151	24.9527	25.0218	24.9702	24.906	24.993
152	24.938	25.0149	24.9801	24.8842	24.9445
153	24.9193	25.0204	24.9807	24.8735	24.9727
154	24.9464	25.0218	24.9636	24.8842	24.9932
155	24.9168	25.0019	24.9861	24.8722	24.94
156	24.9581	25.0171	24.983	24.8667	24.9371
157	24.9413	25.0047	24.9715	24.8643	24.9524
158	24.9388	25.03	25.0177	24.8766	24.9412
159	24.906	25.0198	25.0278	24.8778	24.9267
160	24.9075	25.0194	24.9624	24.8984	24.9507
161	24.8986	25.0087	25.0173	24.9139	24.9412
162	24.9141	24.9998	24.9731	24.8678	24.9507
163	24.925	25.0232	24.9637	24.895	24.9519
164	24.9253	25.0212	24.994	24.919	24.9399
165	24.9547	25.006	24.9683	24.8778	24.9909
166	24.9259	25.0134	24.9544	24.9131	24.9444
167	24.9268	25.0218	24.9731	24.8635	24.9323
168	24.9132	24.9927	24.9615	24.8715	24.9321
169	24.9329	25.0398	25.0364	24.8782	25.009
170	24.9681	25.0022	25.0217	24.8919	24.9809
171	24.9547	24.9963	24.9702	24.87	24.9464
172	24.9329	25.0174	24.9889	24.9058	25.0014
173	24.9205	25.039	24.9625	24.9093	25.0042
174	24.9268	24.9976	25.0059	24.8761	24.9821
175	24.9461	25.0277	24.9903	24.9036	24.9935
176	24.9479	25.0424	24.9624	24.8773	24.9466
177	24.948	24.9927	24.9807	24.8984	24.9312
178	24.9128	25.026	25.0378	24.8904	25.0152
179	24.9089	25.0056	24.9731	24.9188	24.9724
180	24.9618	24.9901	24.9776	24.9266	25.0434
181	24.9489	25.0013	24.9745	24.898	24.9576
182	24.9329	25.045	24.9539	24.8843	24.9741
183	24.9333	25.0132	25.0037	24.9091	24.9713
184	24.9132	24.9796	25.0177	24.8752	24.9528
185	24.9075	25.0013	24.9843	24.9266	24.9599
186	24.9459	24.9891	25.0143	24.8885	24.9412
187	24.9329	25.0086	25.03	24.9135	24.9619
188	24.9267	25.0427	25.0552	24.9178	24.9743
189	24.907	24.9992	25.0149	24.8799	24.9427
190	24.9089	25.0398	24.9958	24.9229	24.9562
191	24.9464	24.9816	24.9725	24.8724	24.9349
192	24.9471	25.0079	24.9937	24.8842	24.9524
193	24.9321	25.0809	24.9831	24.8855	24.9733
194	24.9248	24.9856	24.9623	24.9058	24.9676
195	24.9333	25.0424	24.983	24.8724	24.9856
196	24.8981	25.0337	24.9937	24.8778	24.9412
197	24.9105	25.0167	24.9786	24.9246	24.9768
198	24.9527	25.0292	25.0217	24.8748	24.9533
199	24.9136	25.0267	25.0143	24.8779	24.9727
200	24.9153	25.0337	25.0177	24.904	24.9477
201	24.9122	25.018	25.0004	24.9808	24.9713
202	24.9277	25.0337	24.9795	24.8689	24.9514
203	24.9075	24.9901	25.0177	24.8897	24.9521
204	24.9677	25.0083	24.9823	24.9178	24.9938
205	24.9184	25.0629	24.999	24.8984	24.9821
206	24.9881	24.993	25.001	24.9111	24.9519
207	24.9459	24.9979	25.0224	24.8636	24.9362
208	24.9184	24.993	24.9592	24.9151	24.9616
209	24.9193	25.0542	24.9802	24.8984	24.9649
210	24.9442	25.0291	25.0037	24.9093	25.0025
211	24.9248	25.0386	25.0427	24.8989	24.9821
212	24.9239	25.0443	24.9964	24.8627	24.9489
213	24.9333	25.0398	24.983	24.9058	24.9553
214	24.9253	25.0252	24.9623	24.8712	24.9477
215	24.9459	25.0132	24.9655	24.8667	24.9477
216	24.9061	25.0466	24.9831	24.9157	24.9781
217	24.9245	25.0372	24.9736	24.8804	24.9932
218	24.901	25.0355	24.9736	24.9383	24.9821
219	24.9333	24.9912	24.9942	24.8679	24.9412
220	24.9253	24.9963	24.9715	24.906	24.9358
221	24.9329	25.0184	24.9937	24.8778	24.9875
222	24.9536	24.9998	24.9843	24.9058	25.0025
223	24.9266	25.0079	24.963	24.8605	24.9507
224	24.8973	25.0149	24.9731	24.9203	24.9348
225	24.9207	25.0419	24.9623	24.895	24.9576
226	24.9581	25.0205	24.9832	24.8972	24.9616
227	24.9391	25.0337	25.0051	24.86	24.9499
228	24.9132	25.0291	25.0171	24.8606	24.9602
229	24.8978	25.0132	25.0173	24.9473	25.0025
230	24.9064	25.0339	24.9504	24.9105	24.9427
231	24.9464	25.0617	25.0372	24.8907	24.9477
232	24.9459	25.0136	25.0173	24.906	24.9883
233	24.9509	25.0132	24.983	24.8884	24.9938
234	24.9212	25.018	24.9731	24.9299	24.973
235	24.9475	25.0249	24.9702	24.8897	24.9323
236	24.9596	25.0218	25.0035	24.8627	24.9541
237	24.9006	25.022	24.9903	24.8669	24.9741
238	24.9268	25.0542	25.001	24.8851	24.9399
239	24.9333	25.03	24.999	24.9091	24.967
240	24.934	25.0542	24.9801	24.9659	24.9477
241	24.9375	25.0132	24.9802	24.8752	24.9616
242	24.9475	25.038	24.9831	24.8691	24.9412
243	24.9279	25.0133	24.9444	24.9452	24.9348
244	24.9168	25.0193	24.981	24.88	24.9719
245	24.9293	25.0087	24.9831	24.8897	24.9724
246	24.9235	25.039	24.9823	24.8678	24.9563
247	24.9454	25.0311	24.9867	24.88	24.9562
248	24.9071	25.0013	24.9477	24.8979	24.9477
249	24.9489	25.0424	24.999	24.9962	24.9838
250	24.9333	25.0116	24.9889	24.8712	24.9724
251	24.9743	25.0136	24.983	24.9019	24.9923
252	24.9375	25.0095	24.9757	24.88	24.9821
253	24.9321	25.0174	25.0143	24.9135	24.9396
254	24.9061	24.9968	25.0149	24.8745	24.9407
255	24.9651	24.9891	24.9636	24.8773	24.9521
256	24.9132	24.993	25.0247	24.9018	24.9669
257	24.9132	25.0132	24.9706	24.8984	24.9932
258	24.9061	25.0096	24.955	24.9226	24.9336
259	24.9475	25.0196	24.9802	24.8572	24.9517
260	24.9669	25.0015	24.9786	24.8778	24.9821
261	24.9618	25.0252	24.9903	24.8864	24.9986
262	24.9218	25.0283	24.9731	24.8778	24.9463
263	24.9527	25.0504	24.9952	24.8931	24.9538
264	24.9212	25.0002	24.9539	24.8989	24.9357
265	24.9267	25.0337	24.9894	24.8813	24.9528
266	24.9335	24.9968	25.0017	24.9115	24.9594
267	24.9168	25.0132	24.9757	24.8897	24.9371
268	24.9515	25.0164	25.0243	24.8834	24.9463
269	24.9292	24.9927	25.0067	24.9333	24.9576
270	24.8883	25.0132	24.9736	24.8643	24.9521
271	24.9097	25.0013	24.979	24.8857	24.9464
272	24.9282	24.9884	24.9937	24.8814	24.9631
273	24.9132	25.0047	25.0017	24.8817	24.9482
274	24.9266	25.0747	24.9769	24.8886	24.9521
275	24.9021	25.0498	25.0257	24.8636	24.9521
276	24.9193	25.0223	24.9529	24.8923	24.9507
277	24.9212	24.9722	24.983	24.9135	24.9683
278	24.9329	25.0184	24.973	24.8712	24.9349
279	24.9508	25.0337	25.0143	24.8932	24.9333
280	24.9105	25.0337	24.9801	24.9013	24.9587
281	24.9255	25.0244	24.9588	24.905	24.9554
282	24.9329	25.0337	24.9736	24.9265	24.9727
283	24.9132	25.0088	24.9964	24.8657	24.9713
284	24.9062	25.0337	24.9807	24.9226	24.9302
285	24.9788	25.0204	24.9702	24.8857	24.9319
286	24.9222	25.0339	24.9942	24.952	25.0016
287	24.9218	25.0132	24.9623	24.9023	24.9477
288	24.9464	24.9787	24.9678	24.8842	24.9399
289	24.8961	25.0136	24.9823	24.8813	24.9463
290	24.8915	25.0277	25.0155	24.8842	24.9358
291	24.9455	25.0337	24.9942	24.9105	24.967
292	24.906	25.0198	24.9683	24.8678	24.9668
293	24.8994	25.0096	25.0425	24.8516	24.9821
294	24.906	24.995	24.9612	24.8628	24.9412
295	24.9121	25.0174	24.9623	24.8851	24.9412
296	24.9184	25.0193	24.9786	24.8813	24.9358
297	25.0087	24.991	24.9786	24.893	24.9554
298	24.9039	25.0293	24.9786	24.9135	24.9722
299	24.9386	25.0116	24.9823	24.8715	24.9659
300	24.9536	25.0012	24.9952	24.8928	24.9319
301	24.9128	24.9927	24.9697	24.879	24.9703
302	24.9	24.9922	24.9837	24.8843	24.927
303	24.9489	25.0292	24.9964	24.8897	24.9272
304	24.8787	25.0127	24.9702	24.8766	24.9051
305	24.9293	25.0056	24.9702	24.8897	24.9336
306	24.8981	25.0184	24.9803	24.8516	24.9938
307	24.9128	25.0267	24.9734	24.893	24.9316
308	24.9114	25.0127	24.9802	24.919	24.9322
309	24.9681	24.9901	24.9655	24.9007	24.9412
310	24.9278	25.0127	24.982	24.8677	24.9407
311	24.9086	24.9936	25.0211	24.8764	24.9314
312	24.9168	24.9819	25.0017	24.8898	24.9821
313	24.9333	25.0013	25.0367	24.8658	24.9731
314	24.9268	24.9865	24.999	24.8967	24.9469
315	24.9122	25.0174	24.9997	24.9048	24.9616
316	24.9459	25.0136	24.9731	24.8643	24.9323
317	24.9268	25.0228	24.9636	24.8817	24.9412
318	24.9321	25.0106	25.0037	24.8851	24.9328
319	24.9489	25.0055	24.9996	24.8907	25.009
320	24.9053	24.9832	24.981	24.856	24.9535
321	24.9814	25.0022	25.0009	24.8779	25.0025
322	24.9392	24.9842	24.9648	24.8605	24.9684
323	24.8978	25.0337	24.999	24.8447	24.915
324	24.9266	25.0293	25.0245	24.8886	25.0013
325	24.9079	25.0232	24.983	24.8814	24.9466
326	24.934	25.0134	25.0143	24.8779	24.9604
327	24.9267	25.0337	24.9802	24.8679	24.9524
328	24.8946	25.0132	24.9619	24.8742	24.9516
329	24.9205	24.9912	24.9511	24.8863	24.9616
330	24.9385	25.007	24.9615	24.9471	24.973
331	24.9631	24.9927	25.005	24.8712	24.9499
332	24.9132	24.9987	25.0173	24.8897	24.9489
333	24.9205	25.0132	24.9768	24.8778	24.9528
334	24.9239	25.0194	25.0002	24.8766	24.9704
335	24.8998	25.0174	24.9803	24.8584	24.9257
336	24.9542	25.006	25.0585	24.8851	24.9499
337	24.9321	24.9942	24.9786	24.8925	24.9507
338	24.8981	25.0424	24.981	24.8724	24.9616
339	24.9253	24.995	24.9655	24.8966	24.9616
340	24.9132	24.9922	24.9827	24.9105	24.9821
341	24.8961	25.006	25.0349	24.8778	24.9357
342	24.9375	25.0184	24.9786	24.8572	24.9741
343	24.9184	25.0487	24.9831	24.8986	24.9498
344	24.9021	25.0141	25.0177	24.9058	24.9668
345	24.9071	24.9987	24.9603	24.8967	24.9398
346	24.927	25.0747	24.9527	24.8565	24.9562
347	24.8961	25.0132	24.9832	24.9018	24.9821
348	24.8907	25.0232	24.983	24.8857	24.9616
349	24.9051	25.0071	24.981	24.8752	24.9175
350	24.9267	25.0167	25.0037	24.8793	24.9727
351	24.9129	24.9901	24.9937	24.8952	24.9357
352	24.9128	25.0252	24.9672	24.8556	24.9524
353	24.9186	25.039	24.9625	24.8689	24.9821
354	24.9207	25.0457	24.9702	24.9064	24.9507
355	24.9213	24.9963	24.9655	24.8778	24.9616
356	24.9	25.0182	24.9803	24.8716	24.9358
357	24.9075	25.0283	25.0143	24.8606	24.9503
358	24.9277	24.9927	24.9731	24.8855	24.9616
359	24.934	24.9828	24.957	24.919	24.9713
360	24.9275	24.988	25.0173	24.88	24.9616
361	24.9255	25.0088	24.973	24.8592	24.9809
362	24.925	24.9762	24.9592	24.8605	24.9616
363	24.9044	24.9725	25.001	24.8636	24.9316
364	24.8923	25.0218	24.9588	24.8614	24.9258
365	24.9333	25.0106	24.9731	24.919	24.9426
366	24.9333	25.0391	24.983	24.9313	24.9684
367	24.9471	24.9781	24.9539	24.8691	24.9616
368	24.9061	25.0132	24.999	24.9178	24.9319
369	24.9279	25.0487	24.9539	24.9111	24.989
370	24.9471	25.0399	25.005	24.8957	24.9676
371	24.9743	25.0132	25.0173	24.9048	24.9733
372	24.9064	24.9901	24.9561	24.9105	24.9412
373	24.9209	25.0412	25.0037	24.8834	24.9412
374	24.8858	25.0132	24.9952	24.8572	24.9684
375	24.8841	25.006	25.0245	24.8811	24.9538
376	24.9743	25.038	24.9894	24.8857	24.9507
377	24.8978	25.0071	24.9623	24.8855	24.9528
378	24.9258	24.9891	25.0044	24.8979	24.9727
379	24.9329	24.9774	25.039	24.8572	24.9314
380	24.9375	25.0174	24.9525	24.8643	24.9412
381	24.9205	25.0116	24.9507	24.8778	24.9328
382	24.9333	25.0132	24.9715	24.8804	24.9616
383	24.8915	25.006	25.0224	24.9131	24.9616
384	24.9062	24.9875	24.9942	24.9135	24.9821
385	24.9039	25.0644	24.9702	24.8572	24.9414
386	24.8973	25.0167	24.9592	24.86	24.9616
387	24.9044	24.9758	24.9937	24.8584	24.9821
388	24.934	25.0013	24.9683	24.8884	24.9469
389	24.9321	25.0331	25.0086	24.856	24.9875
390	24.9095	25.006	24.9695	24.8442	24.9414
391	24.9072	25.0022	24.9848	24.8943	24.9333
392	24.9128	24.9762	24.9937	24.861	24.9821
393	24.9253	25.0132	25.0554	24.8813	24.9276
394	24.9122	24.9942	24.998	24.8851	24.9616
395	24.9021	24.9967	24.9798	24.919	24.9938
396	24.9755	25.0132	25.0244	24.8766	24.9293
397	24.9095	24.9675	24.9477	24.8855	24.9521
398	24.9054	25.0172	24.9937	24.8972	24.9302
399	24.9039	25.0056	24.9635	24.8722	24.9249
400	24.8921	25.0337	24.9731	24.8678	24.9314
401	24.9061	25.0013	25.0054	24.9135	24.9524
402	24.9354	24.9927	24.963	24.9216	24.9301
403	24.9053	25.0047	24.9843	24.86	24.9563
404	24.9261	24.9963	24.9843	24.919	24.9521
405	24.9464	25.022	24.9616	24.906	24.9521
406	24.9182	25.0261	24.9702	24.8679	24.9821
407	24.9201	25.0283	24.9931	24.9081	24.9412
408	24.9282	24.9828	24.9843	24.8482	24.9521
409	24.9132	25.0095	24.9702	24.906	24.9528
410	24.9072	25.0218	24.9487	24.8984	25.0434
411	24.9266	25.0132	24.9745	24.9193	24.9616
412	24.9268	25.0013	25.0086	24.8904	24.9541
413	24.9205	24.997	24.9623	24.8842	24.9821
414	24.9186	25.0198	25.0554	24.9023	24.9733
415	24.9258	25.0132	24.9801	24.8857	24.967
416	24.934	25.0095	25.0224	24.8984	24.9314
417	24.9597	25.0487	24.9837	24.8855	24.9938
418	24.9184	25.0174	24.9702	24.8806	24.9616
419	24.9122	25.0013	24.9623	24.8678	24.9724
420	24.9743	25.0277	24.981	24.893	24.9528
421	24.9536	24.997	24.9588	24.8419	24.9221
422	24.9282	25.0132	24.9937	24.8952	24.9727
423	24.9184	24.9807	25.0349	24.8628	24.9336
424	24.9464	25.0006	25.0349	24.8843	24.9528
425	24.9413	25.0013	24.9937	24.8857	24.9616
426	24.9454	24.9881	24.9964	24.8912	24.9221
427	24.8981	24.9796	24.9937	24.9105	24.9741
428	24.9075	25.0079	24.9625	24.8628	24.9616
429	24.9275	24.9865	24.9904	24.9188	24.9727
