numer ramki	temp_defekt_srednica10mm_glebokosc3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
119	24.881	24.9807	24.9147	24.8852	24.9322
120	24.885	24.9616	24.8876	24.8324	24.9193
121	24.9065	24.9758	24.8871	24.8206	24.8911
122	24.9561	24.9922	24.9357	24.7989	24.9067
123	24.8648	24.9967	24.8894	24.8218	24.8776
124	24.8862	24.9331	24.9404	24.8419	24.8951
125	24.8871	24.954	24.929	24.8294	24.8776
126	24.8918	24.9496	24.9329	24.8204	24.8771
127	24.8862	24.957	24.9527	24.8472	24.9055
128	24.8862	24.9712	24.94	24.8208	24.8796
129	24.9158	24.9597	24.9083	24.8483	24.959
130	24.8672	24.9496	24.8894	24.8398	24.8832
131	24.866	24.9536	24.894	24.8442	24.8957
132	24.9716	24.954	24.9282	24.8204	24.9239
133	24.9289	24.9496	24.898	24.8564	24.9193
134	24.9223	24.9597	24.9527	24.863	24.8813
135	24.888	24.9548	24.9114	24.8077	24.8761
136	24.9093	24.9472	24.9136	24.8347	24.9184
137	24.8592	24.9496	24.9268	24.8419	24.9227
138	24.8906	24.9758	24.899	24.8353	24.8596
139	24.8636	24.9548	24.9329	24.8317	24.8986
140	24.8761	24.9431	24.9536	24.8142	24.9578
141	24.8734	24.9478	24.9523	24.8142	24.8868
142	24.9087	24.9522	24.9174	24.8182	24.8924
143	24.9277	25.0228	24.9266	24.8901	24.8984
144	24.9099	24.9713	24.9091	24.8218	24.9193
145	24.86	24.9354	24.929	24.8652	24.9016
146	24.8748	24.9749	24.9182	24.8514	24.9357
147	24.8562	25.0151	24.9321	24.8761	24.9193
148	24.8975	24.9459	24.9101	24.8061	24.8806
149	24.8869	25.0585	24.9475	24.8641	24.8835
150	24.8929	24.9749	24.9444	24.8461	24.9167
151	24.9006	24.9772	24.9527	24.8391	24.9078
152	24.8955	25.0176	24.9196	24.8106	24.9169
153	24.8751	24.9799	24.9282	24.8304	24.8762
154	24.8662	24.9176	24.9136	24.8036	24.9016
155	24.8791	24.9758	24.9482	24.8177	24.8868
156	24.903	24.9705	24.9471	24.8141	24.8824
157	24.9221	24.9496	24.8894	24.8333	24.9346
158	24.8949	24.9772	24.8778	24.8093	24.9022
159	24.888	24.9573	24.9083	24.8419	24.8908
160	24.8963	24.9496	24.929	24.8353	24.9287
161	24.8862	24.9881	24.9147	24.8419	24.9232
162	24.9179	24.9758	24.899	24.8564	24.89
163	24.8815	24.9548	24.9268	24.8419	24.8977
164	24.885	24.9754	24.9471	24.8523	24.9115
165	24.9246	24.9964	24.9075	24.8413	24.9031
166	24.8703	24.9967	24.929	24.8121	24.8951
167	24.9502	24.9424	24.9489	24.869	24.8824
168	24.8936	24.9718	24.8855	24.8655	24.8984
169	24.8809	24.9914	24.9329	24.8128	24.9195
170	24.898	24.954	24.9489	24.8564	24.8951
171	24.9075	24.9379	24.8894	24.8326	24.8775
172	24.8862	24.9782	24.9329	24.849	24.8919
173	24.8576	25.004	24.9497	24.8564	24.8868
174	24.9289	24.9837	24.9282	24.8612	24.9209
175	24.9257	24.9845	24.9347	24.869	24.8986
176	24.903	24.9705	24.9554	24.8483	24.9232
177	24.876	24.9621	24.929	24.8106	24.8771
178	24.8691	24.9406	24.9264	24.869	24.8823
179	24.9022	25.0176	24.9525	24.8128	24.9187
180	24.9093	24.9319	24.919	24.8353	24.9078
181	24.8846	24.9599	24.9268	24.8412	24.9022
182	24.9063	24.9705	24.9329	24.863	24.8858
183	24.9009	24.9705	24.9514	24.8141	24.9045
184	24.9006	24.9387	24.9128	24.8169	24.8984
185	24.8975	24.9843	24.9307	24.9062	24.9027
186	24.888	24.9589	24.929	24.836	24.9215
187	24.9093	24.9914	24.9329	24.8394	24.9232
188	24.9075	24.9782	24.9267	24.8483	24.9078
189	24.8862	24.9411	24.9103	24.8208	24.8813
190	24.8869	24.9529	24.8915	24.8204	24.9005
191	24.8948	25.0122	24.9031	24.8312	24.8919
192	24.8816	24.9758	24.9096	24.8419	24.9375
193	24.9063	24.9959	24.9321	24.8353	24.9193
194	24.9455	24.9914	24.9266	24.8268	24.9402
195	24.8862	24.9782	24.9402	24.8093	24.9022
196	24.9012	24.9914	24.9061	24.869	24.8859
197	24.9075	24.9914	24.9075	24.8279	24.8974
198	24.9024	24.9914	24.9527	24.8268	24.9031
199	24.8691	24.965	24.9136	24.8317	24.9164
200	24.9075	24.9754	24.9216	24.8502	24.9068
201	24.9075	24.9548	24.9122	24.8318	24.9427
202	24.9065	24.9581	24.8994	24.8483	24.9277
203	24.9369	24.9362	24.9091	24.8529	24.9187
204	24.9063	24.9941	24.9268	24.8208	24.916
205	24.8862	24.9914	24.9034	24.8081	24.9034
206	24.9065	24.9731	24.9114	24.8419	24.8595
207	24.9245	24.9758	24.9182	24.8419	24.9022
208	24.8848	24.954	24.9268	24.8134	24.9055
209	24.9039	24.9922	24.901	24.8312	24.8974
210	24.8791	24.9529	24.894	24.8134	24.9
211	24.9063	24.9914	24.9307	24.8609	24.9267
212	24.9502	24.9551	24.8876	24.8218	24.8868
213	24.8963	24.9589	24.906	24.8347	24.8935
214	24.8809	24.9747	24.8894	24.8208	24.9034
215	24.8636	24.9572	24.9158	24.855	24.8981
216	24.8672	24.954	24.9031	24.8389	24.8722
217	24.8761	24.9496	24.9035	24.8353	24.968
218	24.9172	24.9287	24.9246	24.8279	24.875
219	24.8906	24.9411	24.9316	24.869	24.8951
220	24.9065	25.0331	24.8985	24.8093	24.8661
221	24.9502	24.9666	24.9329	24.8332	24.9193
222	24.9279	24.9758	24.9682	24.8231	24.9016
223	24.9085	24.9642	24.893	24.8141	24.9216
224	24.9075	24.9462	24.9101	24.8735	24.8868
225	24.9279	24.9694	24.858	24.849	24.9268
226	24.885	25.0081	24.9002	24.8633	24.9287
227	24.9289	24.9914	24.9246	24.8218	24.9078
228	24.9336	24.9634	24.9268	24.843	24.8986
229	24.9223	25.0009	24.929	24.8304	24.9192
230	24.8948	24.9331	24.9064	24.8272	24.9015
231	24.8871	24.9522	24.9061	24.8021	24.8868
232	24.8876	24.9695	24.889	24.8953	24.9369
233	24.9436	24.9572	24.9619	24.8272	24.9288
234	24.8816	24.9914	24.9061	24.8398	24.916
235	24.8848	24.954	24.9182	24.8307	24.9232
236	24.878	24.9705	24.9114	24.8229	24.8776
237	24.9162	24.9548	24.9075	24.8204	24.9078
238	24.9031	24.9551	24.9307	24.8479	24.9402
239	24.8791	24.9315	24.9329	24.8523	24.9133
240	24.9031	24.9782	24.9475	24.829	24.8824
241	24.8825	24.9705	24.9069	24.8187	24.8803
242	24.9086	24.9758	24.9514	24.7989	24.9016
243	24.866	24.9756	24.8941	24.8142	24.9016
244	24.9006	25.0018	24.9096	24.855	24.9287
245	24.9067	24.9758	24.9147	24.8219	24.8984
246	24.8594	24.9496	24.9402	24.8419	24.9016
247	24.8636	24.9342	24.9122	24.8339	24.9172
248	24.8871	24.9601	24.9061	24.8182	24.8747
249	24.8861	24.9705	24.9136	24.7993	24.8977
250	24.8734	24.9799	24.9101	24.8838	24.9255
251	24.9008	24.9537	24.9268	24.8479	24.9193
252	24.8706	24.9655	24.9196	24.8523	24.9092
253	24.8656	24.9756	24.9321	24.8128	24.9172
254	24.9006	24.954	24.901	24.8564	24.9136
255	24.876	24.9371	24.929	24.8129	24.9068
256	24.8706	24.9294	24.8782	24.8401	24.8806
257	24.9086	24.9597	24.9083	24.8128	24.8823
258	24.8702	24.9967	24.902	24.8479	24.8985
259	24.8862	24.9616	24.9207	24.8204	24.9184
260	24.8791	24.9831	24.9282	24.8231	24.9646
261	24.8918	24.9597	24.929	24.8291	24.897
262	24.9096	24.9548	24.9207	24.8268	24.8881
263	24.9502	24.9633	24.9527	24.8142	24.9111
264	24.9289	24.9967	24.929	24.8894	24.9005
265	24.9171	24.9891	24.9282	24.8268	24.9287
266	24.8815	24.9581	24.8901	24.8529	24.8951
267	24.9075	25.0122	24.9182	24.8901	24.8813
268	24.8948	24.9589	24.9083	24.815	24.9194
269	24.86	24.9681	24.9149	24.8701	24.916
270	24.8648	24.9496	24.9101	24.8161	24.8951
271	24.8695	24.9307	24.9505	24.849	24.9058
272	24.8456	25.0219	24.8893	24.8652	24.9068
273	24.9075	24.9518	24.9096	24.8419	24.9436
274	24.9289	25.0168	24.8891	24.8391	24.9187
275	24.9075	24.9387	24.9039	24.8419	24.8819
276	24.86	24.9782	24.929	24.8415	24.8892
277	24.8862	24.9782	24.9096	24.8633	24.8963
278	24.8809	25.0385	24.9329	24.8279	24.9062
279	24.8599	24.9591	24.929	24.8419	24.8805
280	24.8862	24.9496	24.9035	24.8633	24.8957
281	24.884	24.9548	24.9688	24.9062	24.959
282	24.921	24.9627	24.9329	24.81	24.8824
283	24.8862	24.9331	24.9061	24.8106	24.9288
284	24.8862	24.9548	24.9098	24.833	24.9111
